,Compound,xBi(Me1Me2)O3,xPT,Tolerance_Factor,Ionic_Displacements,Ferroelectric_Tc_in_Kelvin
120,Bi(ScIn)O3-PT,0.35,0.65,0.9830911360290229,0.07725425000000001,749.0
121,Bi(ScIn)O3-PT,0.32999999999999996,0.67,0.9854114602507574,0.07703475000000001,759.0
122,Bi(ScIn)O3-PT,0.30000000000000004,0.7,0.98889253667303,0.07670550000000001,773.0
123,Bi(ScIn)O3-PT,0.37,0.63,0.9807710676082233,0.07747375000000001,741.0
124,Bi(ScIn)O3-PT,0.31179999999999997,0.6882,0.9886946621200838,0.07763900500000001,776.0
125,Bi(ScIn)O3-PT,0.27349999999999997,0.7265,0.9943154680333781,0.0780226625,778.0
126,Bi(ScIn)O3-PT,0.31179999999999997,0.6882,0.9898759276548806,0.07844300500000001,750.0
127,Bi(ScIn)O3-PT,0.35,0.65,0.9854481305600227,0.07886225000000001,728.0
128,Bi(ScIn)O3-PT,0.37,0.63,0.9831299569345018,0.07908175,718.0
129,Bi(ScGa)O3-PT,0.25,0.75,1.0056693661583789,0.07714835,798.0
130,Bi(ScFe)O3-PT,0.4,0.6,0.9841812468084435,0.08390556000000002,728.0
131,Bi(CoFe)O3-PT,0.2,0.8,1.0161615354968698,0.08901328000000003,898.0
